PID, Country Code, Price
TIQ439, ES, 3948
RZO810, BE, 1832
RGF628, ML, 2143
ETN511, NA, 8867
TDH596, MW, 1823
BRX801, BT, 1056
MXF977, MK, 6321
JHE863, ZW, 1505
SSE628, MM, 5170
RZO810, IE, 4321
EON719, GH, 9570
UIE078, SK, 3224
SKV639, VU, 7324
EMW654, CI, 9501
EPW158, JO, 6849
HZJ001, MW, 2609
FUR996, IR, 8163
ECS811, GW, 935
DUR236, FI, 5802
UJW299, SE, 720
JHE863, KR, 8707
QRK165, WS, 8610
VTX268, AU, 8898
ZKJ520, DZ, 9904
OLI982, QA, 9458
MSR124, MW, 4517
OUW429, SL, 7352
XAP737, SA, 4703
JLU105, CV, 8478
ZZE251, YE, 1154
TQA626, PH, 3890
DUM793, EG, 3333
FMX633, SL, 6111
MSQ702, MA, 1148
IEX152, PE, 3127
YMS747, BN, 8265
FQP087, LS, 1489
ZND997, ST, 2906
ZND997, CF, 1310
IFM145, AF, 4677
CQH403, NA, 2558
BUD210, SR, 5452
XIA113, SN, 444
BRX801, SV, 8365
CQH403, MR, 4160
XOE038, LU, 3376
EDS033, MC, 1475
YIZ421, MV, 9657
YJZ887, SV, 9838
KDL036, ZW, 2648
VSN567, AL, 2382
UIE078, CI, 1743
ZZZ669, WS, 9981
ATL153, NG, 6336
PFH079, DO, 9163
MVT740, GB, 6059
VTX268, BJ, 1318
WIQ510, PA, 5404
GQN193, ZM, 6048
EAQ790, GN, 5701
CQH403, LK, 8509
VTH061, FJ, 7688
YRY873, ZM, 4785
NYQ333, KW, 9647
FUR996, RU, 7704
DKQ286, SC, 4482
FZZ352, CV, 9885
FUR996, MY, 3008
TRO770, BT, 4083
FVF864, VN, 2327
SWP631, BE, 1225
VWR847, PH, 4353
LLX947, UZ, 6379
XHX486, CK, 7640
ZDK882, HR, 979
PFH079, FR, 3605
EPW158, MZ, 9374
QIS044, CR, 9772
ZHC600, NA, 2958
TDB043, AG, 8201
HQM195, OM, 1312
EUP503, KY, 4991
WOQ639, MH, 6391
HSY941, KY, 9035
UCZ641, CY, 9139
AMD741, DK, 296
CZE522, CI, 6661
XDL139, FM, 2745
WGQ397, SA, 7765
ZZE251, CI, 8762
OZE404, IQ, 9035
OUO999, FJ, 5573
EAQ790, FM, 586
GXE690, BD, 5138
DXD304, VC, 5401
QVA360, LV, 4931
IDD059, TH, 6395
JMV404, LK, 8103
ZRY656, CK, 5780
PMC984, ID, 1331
MXF977, TW, 9438
HQM195, SA, 144
HDQ062, MW, 1086
MVT740, ER, 6191
VVA008, SG, 8747
BWV316, MK, 8388
CMM037, SO, 1671
CMM037, TG, 5088
VNH867, UA, 7586
MUG772, CI, 6034
IMM935, EC, 746
KTU831, JM, 4409
RQI769, BD, 3302
NNH655, GW, 3192
FQP087, CO, 7966
RZO810, VC, 6282
XDL626, AU, 7979
PEB331, SR, 8298
UDV853, EH, 4427
JPG804, SL, 4150
UMZ034, NL, 690
MGU253, AD, 7064
GHD954, MA, 6708
NQJ411, SM, 9168
HLG217, CL, 3170
YGP507, VA, 6347
XLK802, MW, 8808
FMX633, IN, 8400
GFX473, ZW, 2331
SXE552, TG, 9441
JPG804, BZ, 867
PEB331, IR, 6495
KEL524, GM, 1688
UMG532, MW, 263
PTO324, SB, 3359
QWU452, PA, 3883
MKB591, ME, 9914
XNO906, CR, 7837
PJA218, CU, 6045
HSL253, SR, 9625
EOU890, ME, 6643
QRK165, MK, 7518
SRH525, AU, 8149
DXD304, NG, 831
MOQ202, PT, 4631
ELC352, MY, 5818
XDL139, GH, 3408
WNV319, TJ, 9820
YBX043, BH, 412
UDD771, BN, 6734
QIS044, MK, 7271
TDH596, HU, 3020
XEQ593, MU, 890
FPB952, GR, 3090
UDD771, NI, 396
FZZ352, WS, 6298
IOF378, PL, 3490
BST279, BB, 9619
YIW159, NE, 2378
VSN567, ET, 4726
YKA365, EG, 7203
UJW299, AZ, 4792
NIY207, SK, 2991
FCK713, LA, 4768
FPB952, BE, 3828
JMV404, CR, 4064
QIW073, IL, 3132
LGP999, IR, 2198
VWY314, NL, 2942
QMZ626, CK, 9706
MAT460, ME, 2556
GOH699, GR, 9792
AKH775, MR, 1953
FEM194, MC, 1406
PUZ675, MV, 7962
WGQ397, SD, 5669
JWC202, TO, 2213
QRK165, BZ, 7986
UDX889, TM, 6573
MET026, JM, 3911
OPU210, TR, 7405
MSI530, LI, 1537
YGP507, PL, 8078
HJJ841, WS, 3115
FPB952, KZ, 3669
RCF232, MR, 222
VWR847, BH, 4907
FHP796, LK, 3636
JWC202, JO, 911
EMW654, EG, 1492
SSE628, FJ, 660
LYU554, GN, 6762
TRO770, TG, 8683
PMC984, PA, 3343
ZKJ520, FM, 4412
JZJ781, MY, 5341
IDD059, MY, 1702
SVN191, AD, 8258
GOH699, BD, 9696
ZHC600, MG, 8315
DUR236, LU, 9613
ECS811, TD, 1408
LYU554, PT, 7271
BRX801, GQ, 2725
UMG532, SG, 4027
EMW654, UY, 8221
ZRY656, DK, 768
IFG137, ZW, 5973
HDQ062, TM, 8175
JPG804, NA, 9001
LEV202, MA, 1313
OKY457, MC, 7341
LGP999, PE, 2181
DFW993, SC, 7733
HIS437, PK, 7573
TDB043, ID, 3231
AEY003, UZ, 1088
MOQ202, KH, 5372
FSN175, AF, 2131
GKL026, SR, 964
XAT662, VE, 8153
GWD618, SC, 2078
JDP470, FM, 6255
QMQ512, ML, 1767
BCP116, PY, 4717
OLI982, BN, 3762
LYU554, BF, 4387
ETX785, RU, 8451
JZJ781, UA, 4578
MGU253, KI, 4895
VUG789, ZA, 2248
MSQ702, ER, 2169
PUZ675, TW, 6876
NBX829, BT, 2340
JNG560, MU, 1117
MSQ702, SI, 10000
ABT869, KI, 7660
YKA365, UA, 7790
QMZ626, ML, 8058
QIL384, NL, 9948
CMM037, UY, 6784
NYQ333, TH, 638
OZE404, UA, 6039
UTL157, SN, 2160
CQH403, NL, 6217
MVT740, BZ, 655
PSJ088, VA, 356
GXE690, LU, 1530
KWB629, QA, 8913
NBX829, BE, 6735
CSO582, SG, 2675
BJF676, DZ, 7522
LEY185, NO, 9822
ASS020, SN, 559
LUC025, KG, 6327
FDO043, PY, 213
KFB937, SM, 7690
GWD618, MH, 4514
GQN193, IT, 3950
SRH525, ST, 892
ZDM115, LI, 573
TIQ439, MD, 4423
IFG137, IQ, 5711
FEM194, NO, 8875
UMG532, BR, 5027
TXO017, PH, 2445
XHX486, TT, 3576
FUR996, SG, 8256
MSQ702, CR, 9324
UMG532, MD, 3707
XIA113, AD, 4855
UJW299, BZ, 9330
BST279, LR, 2315
DNN448, CN, 9417
TXO017, EC, 2855
OPM654, BF, 8345
TMV446, PK, 3366
IOF378, JP, 3845
FMX633, LI, 9365
VQZ230, IE, 8638
YBX043, FR, 8926
FHP796, CA, 7886
BRX801, KH, 5543
LUC025, IT, 7471
YKA365, SM, 1076
ZHC600, HU, 4936
MDN652, PW, 1816
ASS020, TL, 8334
QVA360, JO, 588
BUD210, US, 4047
DXD304, SR, 7758
GWD618, IL, 9489
ZWK648, US, 980
MAT460, GQ, 6881
FYC350, MZ, 2580
BRX801, IL, 4587
XLK802, LA, 493
PFH079, NO, 7208
IDD059, CF, 6784
AMD741, MV, 749
WIQ510, GD, 3329
PSJ088, LB, 2054
CQC981, NL, 2032
EMB324, BT, 1718
PJA218, ME, 3374
UDV853, VA, 6937
SRH525, KR, 3111
ZND997, CI, 4381
FYC350, AZ, 5334
FEM194, LI, 509
BUD210, GR, 2085
IKK555, BH, 7750
AQT531, CV, 2904
QJA868, IR, 3377
BJF676, RO, 7331
DKQ286, AG, 3934
IDD059, NG, 8995
VNH867, MU, 6252
BJF676, GH, 3311
XAP737, ST, 4916
FBI974, CM, 152
EMB324, SL, 5171
WIQ510, CA, 9181
FYC350, FR, 1398
MGU253, GE, 1387
VQZ230, PG, 4771
UDX889, FJ, 2950
LYT876, CF, 2621
OKY457, LI, 7602
MAT460, VE, 656
FMX633, FJ, 2023
BWV316, SA, 2127
QRK165, CL, 4284
UMG532, RS, 3850
EMW654, EC, 8529
DUR236, BS, 3603
DFW993, BR, 1292
MVT740, BB, 8270
XBL511, RW, 5408
FYC350, MC, 3690
BTK863, MA, 3787
MSQ702, TZ, 2052
ETN511, PK, 2061
ITT762, AZ, 7884
PUZ675, HU, 4104
HZJ001, GR, 5688
XNO906, SB, 5903
WGQ397, JO, 7396
SWP631, TJ, 6386
QIL384, JM, 9658
AQT531, AL, 7047
FYC350, NA, 5750
LYT876, AD, 6487
