Country Code, Industry, Percentage
US, Tech,96
US, Food,79
US, Pharmacy,65
US, Manufacturing,78
US, Agriculture,87
CN, Tech,89
CN, Food,71
CN, Pharmacy,66
CN, Manufacturing,88
CN, Agriculture,55
DE, Tech,19
DE, Food,17
DE, Pharmacy,15
DE, Manufacturing,4
DE, Agriculture,3
IN, Tech,89
IN, Food,91
IN, Pharmacy,88
IN, Manufacturing,74
IN, Agriculture,71
BR, Tech,97
BR, Food,91
BR, Pharmacy,85
BR, Manufacturing,57
BR, Agriculture,55
AU, Tech,17
AU, Food,9
AU, Pharmacy,20
AU, Manufacturing,16
AU, Agriculture,4
FR, Tech,12
FR, Food,19
FR, Pharmacy,5
FR, Manufacturing,1
FR, Agriculture,17
GB, Tech,15
GB, Food,16
GB, Pharmacy,4
GB, Manufacturing,15
GB, Agriculture,9
KR, Tech,10
KR, Food,16
KR, Pharmacy,7
KR, Manufacturing,2
KR, Agriculture,18
RU, Tech,95
RU, Food,93
RU, Pharmacy,72
RU, Manufacturing,85
RU, Agriculture,69
MX, Tech,20
MX, Food,10
MX, Pharmacy,9
MX, Manufacturing,14
MX, Agriculture,3
ZA, Tech,6
ZA, Food,5
ZA, Pharmacy,12
ZA, Manufacturing,11
ZA, Agriculture,6
IT, Tech,11
IT, Food,11
IT, Pharmacy,13
IT, Manufacturing,17
IT, Agriculture,1
ES, Tech,1
ES, Food,2
ES, Pharmacy,9
ES, Manufacturing,8
ES, Agriculture,4
NL, Tech,10
NL, Food,8
NL, Pharmacy,11
NL, Manufacturing,1
NL, Agriculture,13
SE, Tech,7
SE, Food,16
SE, Pharmacy,9
SE, Manufacturing,4
SE, Agriculture,20
NO, Tech,5
NO, Food,4
NO, Pharmacy,16
NO, Manufacturing,15
NO, Agriculture,2
FI, Tech,20
FI, Food,18
FI, Pharmacy,9
FI, Manufacturing,5
FI, Agriculture,13
DK, Tech,9
DK, Food,19
DK, Pharmacy,1
DK, Manufacturing,14
DK, Agriculture,1
PL, Tech,5
PL, Food,6
PL, Pharmacy,10
PL, Manufacturing,1
PL, Agriculture,13
TR, Tech,18
TR, Food,15
TR, Pharmacy,19
TR, Manufacturing,9
TR, Agriculture,6
SA, Tech,1
SA, Food,9
SA, Pharmacy,16
SA, Manufacturing,4
SA, Agriculture,2
EG, Tech,3
EG, Food,11
EG, Pharmacy,4
EG, Manufacturing,15
EG, Agriculture,20
AR, Tech,16
AR, Food,7
AR, Pharmacy,10
AR, Manufacturing,5
AR, Agriculture,9
CL, Tech,1
CL, Food,17
CL, Pharmacy,2
CL, Manufacturing,17
CL, Agriculture,5
CO, Tech,17
CO, Food,6
CO, Pharmacy,6
CO, Manufacturing,8
CO, Agriculture,14
PE, Tech,12
PE, Food,15
PE, Pharmacy,20
PE, Manufacturing,15
PE, Agriculture,20
VE, Tech,11
VE, Food,20
VE, Pharmacy,14
VE, Manufacturing,17
VE, Agriculture,4
BE, Tech,18
BE, Food,16
BE, Pharmacy,19
BE, Manufacturing,18
GR, Tech,3
GR, Food,11
GR, Pharmacy,19
GR, Manufacturing,16
GR, Agriculture,5
PT, Tech,7
PT, Food,17
PT, Pharmacy,10
PT, Manufacturing,19
PT, Agriculture,9
CZ, Tech,10
CZ, Food,7
CZ, Pharmacy,3
CZ, Manufacturing,17
CZ, Agriculture,8
HU, Tech,1
HU, Food,17
HU, Pharmacy,15
HU, Manufacturing,4
HU, Agriculture,15
RO, Tech,17
RO, Food,4
RO, Pharmacy,15
RO, Manufacturing,19
RO, Agriculture,16
TH, Tech,10
TH, Food,7
TH, Pharmacy,12
TH, Manufacturing,16
TH, Agriculture,8
MY, Tech,9
MY, Food,7
MY, Pharmacy,18
MY, Manufacturing,16
MY, Agriculture,9
ID, Tech,15
ID, Food,12
ID, Pharmacy,1
ID, Manufacturing,4
ID, Agriculture,3
PH, Tech,1
PH, Food,7
PH, Pharmacy,17
PH, Manufacturing,4
PH, Agriculture,13
AF, Tech,3
AF, Food,19
AF, Pharmacy,10
AF, Manufacturing,14
AF, Agriculture,2
AL, Tech,19
AL, Food,11
AL, Pharmacy,18
AL, Manufacturing,18
AL, Agriculture,13
DZ, Tech,17
DZ, Food,8
DZ, Pharmacy,13
DZ, Manufacturing,11
DZ, Agriculture,4
AD, Tech,5
AD, Food,14
AD, Pharmacy,6
AD, Manufacturing,15
AD, Agriculture,12
AO, Tech,19
AO, Food,15
AO, Pharmacy,14
AO, Manufacturing,1
AO, Agriculture,19
AG, Tech,7
AG, Food,8
AG, Pharmacy,3
AG, Manufacturing,4
AG, Agriculture,6
AR, Tech,3
AR, Food,7
AR, Pharmacy,7
AR, Manufacturing,6
AR, Agriculture,15
AM, Tech,19
AM, Food,7
AM, Pharmacy,10
AM, Manufacturing,18
AM, Agriculture,4
AZ, Tech,17
AZ, Food,3
AZ, Pharmacy,13
AZ, Manufacturing,15
AZ, Agriculture,14
BS, Tech,18
BS, Food,15
BS, Pharmacy,13
BS, Manufacturing,12
BS, Agriculture,15
BH, Tech,10
BH, Food,7
BH, Pharmacy,1
BH, Manufacturing,14
BD, Tech,7
BD, Food,7
BD, Pharmacy,7
BD, Manufacturing,18
BD, Agriculture,5
BB, Tech,16
BB, Food,8
BB, Pharmacy,10
BB, Manufacturing,8
BB, Agriculture,12
BY, Tech,7
BY, Food,15
BY, Pharmacy,14
BY, Manufacturing,1
BY, Agriculture,20
BZ, Tech,5
BZ, Food,4
BZ, Pharmacy,8
BZ, Manufacturing,18
BZ, Agriculture,13
BT, Tech,18
BT, Food,13
BT, Pharmacy,4
BT, Manufacturing,10
BT, Agriculture,10
AD, Tech,10
AD, Food,17
AD, Pharmacy,17
AD, Manufacturing,16
AD, Agriculture,12
AE, Tech,13
AE, Food,14
AE, Pharmacy,1
AE, Manufacturing,13
AT, Tech,8
AT, Food,19
AT, Pharmacy,5
AT, Manufacturing,18
AT, Agriculture,12
BA, Tech,13
BA, Food,6
BA, Pharmacy,10
BA, Manufacturing,18
BA, Agriculture,5
BF, Tech,15
BF, Food,6
BF, Pharmacy,16
BF, Manufacturing,16
BF, Agriculture,8
BG, Tech,2
BG, Food,3
BG, Pharmacy,18
BG, Manufacturing,11
BG, Agriculture,13
BI, Tech,6
BI, Food,13
BI, Pharmacy,13
BI, Manufacturing,15
BI, Agriculture,8
BJ, Tech,5
BJ, Food,13
BJ, Pharmacy,3
BJ, Manufacturing,19
BJ, Agriculture,13
BN, Tech,7
BN, Food,4
BN, Pharmacy,19
BN, Manufacturing,16
BN, Agriculture,18
BO, Tech,6
BO, Food,10
BO, Pharmacy,20
BO, Manufacturing,12
BO, Agriculture,14
BW, Tech,18
BW, Food,4
BW, Pharmacy,8
BW, Manufacturing,1
BW, Agriculture,11
CD, Tech,2
CD, Food,13
CD, Pharmacy,5
CD, Manufacturing,8
CD, Agriculture,10
CF, Tech,15
CF, Food,3
CF, Pharmacy,10
CF, Manufacturing,20
CF, Agriculture,6
CG, Tech,16
CG, Food,5
CG, Pharmacy,3
CG, Manufacturing,16
CG, Agriculture,1
CI, Tech,4
CI, Food,12
CI, Pharmacy,1
CI, Manufacturing,11
CI, Agriculture,5
CK, Tech,3
CK, Food,2
CK, Pharmacy,9
CK, Manufacturing,12
CK, Agriculture,20
CM, Tech,9
CM, Food,7
